state_code,county_code,action_taken,loan_type,loan_purpose,lien_status,open_end_line_of_credit,business_or_commercial_purpose,loan_amount,combined_loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,occupancy_type,income,debt_to_income_ratio,applicant_ethnicity_1,co_applicant_ethnicity_1,applicant_race_1,applicant_race_2,co_applicant_race_1,applicant_sex,denial_reason_1,denial_reason_2,rate_spread_valid,ltv_capped,dti_numeric,label,strata
TN,47009.0,1,1,1,1,2,2,575000.0,97.0,5.49,0.128,2,1,238.0,38,2,2,2,,2,1,10,,True,97.0,38.0,1,1_2
TN,47049.0,1,2,32,1,2,2,275000.0,75.14,5.125,0.366,2,1,102.0,50%-60%,2,5,5,,8,1,10,,True,75.14,55.0,1,1_5
NJ,34023.0,3,1,1,1,2,2,405000.0,45.71,,,3,2,729.0,<20%,2,5,5,,8,1,6,,False,45.71,10.0,0,0_5
SC,45091.0,1,1,1,1,2,2,155000.0,43.478,5.875,-1.362,2,1,164.0,38,2,2,5,,5,2,10,,False,43.478,38.0,1,1_5
MO,29175.0,1,1,1,1,2,2,95000.0,100.88,6.25,-0.194,2,1,39.0,20%-<30%,2,5,5,,8,2,10,,False,100.88,25.0,1,1_5
NV,32007.0,1,1,4,2,1,2,15000.0,48.005,10.5,,2,1,108.0,30%-<36%,2,2,5,,5,1,10,,False,48.005,33.0,1,1_5
MO,29159.0,1,2,1,1,2,2,195000.0,,6.25,0.816,2,1,41.0,45,2,5,5,,8,1,10,,True,,45.0,1,1_5
FL,12099.0,1,1,2,2,1,2,125000.0,48.748,10.35,,2,1,180.0,30%-<36%,2,5,5,,8,2,10,,False,48.748,33.0,1,1_5
OH,39037.0,1,1,32,1,2,2,165000.0,60.0,7.875,0.99464,2,1,106.0,20%-<30%,2,2,5,,5,2,10,,True,60.0,25.0,1,1_5
CA,6059.0,1,1,4,2,1,2,105000.0,36.413,6.99,-1.0,2,1,137.0,48,2,5,5,,8,2,10,,False,36.413,48.0,1,1_5
CA,6037.0,1,2,31,1,2,2,875000.0,,5.375,-0.025,2,1,,,2,2,2,23,2,1,10,,False,,,1,1_2
PA,42055.0,3,1,4,1,2,2,55000.0,50.0,,,3,1,75.0,<20%,2,5,3,,8,1,9,,False,50.0,10.0,0,0_3
CA,6029.0,1,3,1,1,2,2,435000.0,100.0,5.75,-0.991,2,1,109.0,43,2,2,5,,5,1,10,,False,100.0,43.0,1,1_5
TX,48029.0,3,1,4,2,1,2,45000.0,80.08,,,3,1,120.0,43,2,5,5,,8,1,1,3,False,80.08,43.0,0,0_5
WA,53033.0,1,1,1,1,2,2,405000.0,75.0,6.99,0.449,2,1,156.0,39,2,2,5,,5,1,10,,True,75.0,39.0,1,1_5
DE,10001.0,1,3,1,1,2,2,215000.0,100.0,6.125,-0.0624,2,1,68.0,44,2,5,5,23,8,1,10,,False,100.0,44.0,1,1_5
FL,12055.0,3,1,2,2,2,2,95000.0,74.645,,,3,1,57.0,38,1,5,4,44,8,2,7,,False,74.645,38.0,0,0_4
NY,36093.0,1,1,31,1,2,2,195000.0,79.0,5.99,-0.19,2,1,82.0,30%-<36%,2,5,3,,8,2,10,,False,79.0,33.0,1,1_3
GA,13121.0,3,1,2,2,1,2,105000.0,62.5,,,3,1,4.0,>60%,2,5,3,,8,2,1,,False,62.5,65.0,0,0_3
WI,55079.0,1,1,1,1,2,2,205000.0,51.74,6.25,-0.315,2,1,,20%-<30%,2,2,5,,5,1,10,,False,51.74,25.0,1,1_5
FL,12095.0,1,1,32,2,2,2,105000.0,72.0,9.525,3.275,2,1,108.0,48,2,5,5,,8,2,10,,True,72.0,48.0,1,1_5
SC,45075.0,3,1,1,1,2,2,95000.0,,,,3,1,42.0,30%-<36%,2,5,3,,8,2,3,,False,,33.0,0,0_3
VA,51087.0,1,1,1,1,2,2,455000.0,97.0,3.99,-3.454,2,1,97.0,36,3,5,3,,8,2,10,,False,97.0,36.0,1,1_3
OH,39021.0,3,1,4,2,2,2,45000.0,33.723,,,3,1,38.0,50%-60%,2,5,5,,8,1,1,,False,33.723,55.0,0,0_5
MN,27171.0,1,1,2,2,2,2,85000.0,76.915,9.01,3.2,2,1,133.0,41,2,2,5,,5,1,10,,True,76.915,41.0,1,1_5
LA,,3,1,1,1,2,2,75000.0,93.93,,,3,1,46.0,20%-<30%,3,5,1,5,8,1,3,,False,93.93,25.0,0,0_1
MA,25025.0,1,1,2,2,1,2,155000.0,63.31,9.65,1.51,2,1,115.0,46,2,5,3,,8,1,10,,True,63.31,46.0,1,1_3
UT,49003.0,1,1,1,1,2,2,335000.0,80.0,6.875,0.313,2,1,73.0,39,2,2,5,,5,1,10,,True,80.0,39.0,1,1_5
AZ,4013.0,1,1,4,2,1,2,45000.0,80.0,13.45,7.87,2,1,201.0,47,2,5,5,,8,2,10,,True,80.0,47.0,1,1_5
IA,19153.0,1,1,4,2,1,2,205000.0,85.0,8.0,-0.14,2,1,440.0,20%-<30%,2,2,5,,5,2,10,,False,85.0,25.0,1,1_5
TX,48491.0,1,1,1,1,2,2,495000.0,94.282,7.125,0.725,2,1,195.0,42,2,2,2,25,2,2,10,,True,94.282,42.0,1,1_2
IL,17043.0,1,1,1,1,2,2,875000.0,70.0,6.7,-0.12,2,1,375.0,20%-<30%,2,5,3,,8,1,10,,False,70.0,25.0,1,1_3
NE,31053.0,3,1,4,2,1,2,35000.0,34.79,,,3,1,56.0,50%-60%,2,5,5,,8,2,1,,False,34.79,55.0,0,0_5
WA,53033.0,3,1,1,1,2,2,605000.0,66.667,,,3,1,129.0,50%-60%,1,2,2,,3,2,1,,False,66.667,55.0,0,0_2
UT,49035.0,1,1,4,2,2,2,25000.0,99.48,9.24,2.84,2,1,127.0,48,2,2,5,,5,1,10,,True,99.48,48.0,1,1_5
MO,29095.0,1,1,1,1,2,2,185000.0,95.0,6.5,0.407,2,1,98.0,48,2,5,3,,8,2,10,,True,95.0,48.0,1,1_3
CA,6059.0,1,1,31,1,2,2,355000.0,23.569,6.125,0.471,2,1,400.0,<20%,2,5,2,,8,1,10,,True,23.569,10.0,1,1_2
TX,48499.0,1,1,1,1,2,2,215000.0,80.0,7.25,0.895,2,1,98.0,42,1,1,5,,5,1,10,,True,80.0,42.0,1,1_5
WI,55021.0,1,1,31,2,1,2,125000.0,79.982,7.75,-0.38,2,1,148.0,20%-<30%,2,2,5,,5,2,10,,False,79.982,25.0,1,1_5
TN,47147.0,1,1,1,1,2,2,295000.0,95.0,7.125,0.469,2,1,,20%-<30%,2,2,5,,5,2,10,,True,95.0,25.0,1,1_5
CO,8035.0,1,1,1,1,2,2,305000.0,36.47,6.5,0.087,2,1,88.0,41,2,5,5,,8,2,10,,True,36.47,41.0,1,1_5
TX,48439.0,1,1,2,2,2,2,95000.0,59.974,7.375,0.855,2,1,190.0,30%-<36%,2,2,2,4,2,1,10,,True,59.974,33.0,1,1_2
TX,48231.0,1,1,1,1,2,1,275000.0,70.0,6.998,,3,3,210.0,<20%,2,5,5,,8,1,10,,False,70.0,10.0,1,1_5
MN,27003.0,1,1,1,1,2,2,475000.0,97.0,6.125,0.447,2,1,98.0,47,2,5,2,,8,1,10,,True,97.0,47.0,1,1_2
WV,54049.0,1,2,32,1,2,2,365000.0,81.4,6.75,0.962,2,1,139.0,50%-60%,2,5,5,,8,1,10,,True,81.4,55.0,1,1_5
TX,48273.0,3,1,1,1,2,2,125000.0,,,,3,1,45.0,50%-60%,1,1,5,,5,1,1,,False,,55.0,0,0_5
IN,18097.0,1,1,4,2,1,2,135000.0,84.999,9.725,3.861,2,1,144.0,38,2,5,3,5,8,2,10,,True,84.999,38.0,1,1_3
AZ,4021.0,3,3,31,1,2,2,225000.0,96.694,,,3,1,,,2,2,4,42,4,1,9,,False,96.694,,0,0_4
VA,51735.0,1,2,32,1,2,2,265000.0,66.33,5.75,-0.158,2,1,128.0,20%-<30%,2,2,5,,5,1,10,,False,66.33,25.0,1,1_5
FL,12085.0,1,1,2,1,1,2,255000.0,28.0,7.75,0.15,2,1,100.0,43,2,2,5,,5,1,10,,True,28.0,43.0,1,1_5
MA,25023.0,1,1,4,2,1,2,75000.0,76.594,8.25,1.75,2,1,120.0,40,2,5,5,,8,1,10,,True,76.594,40.0,1,1_5
OK,40109.0,1,2,1,1,2,2,175000.0,96.5,6.875,0.932,2,1,85.0,50%-60%,1,1,1,,5,1,10,,True,96.5,55.0,1,1_1
IL,17055.0,1,1,1,1,2,2,205000.0,80.0,6.625,0.416,2,1,108.0,30%-<36%,2,2,5,,5,1,10,,True,80.0,33.0,1,1_5
OK,40031.0,1,2,1,1,2,2,255000.0,98.188,7.125,1.233,2,1,99.0,46,2,5,5,,8,1,10,,True,98.188,46.0,1,1_5
KS,20173.0,1,3,1,1,2,2,255000.0,,6.75,0.1,2,1,68.0,44,2,5,5,,8,1,10,,True,,44.0,1,1_5
CO,8041.0,1,2,31,1,2,2,515000.0,,6.5,0.527,2,1,,,2,2,5,,5,1,10,,True,,,1,1_5
NY,36061.0,1,1,1,1,2,2,405000.0,70.0,6.125,-0.045,2,1,600.0,30%-<36%,2,2,5,,5,1,10,,False,70.0,33.0,1,1_5
TX,48201.0,1,1,4,1,2,2,205000.0,36.63,6.5,0.315,2,1,68.0,36,1,1,5,,5,1,10,,True,36.63,36.0,1,1_5
